"Group","anteprima","identificativo","avvisi","sede","cliente","località luogo","tipologia intervento","durata","luogo","inizio","data inizio prevista","data fine prevista","modello oggetto","oggetto","codice 1 oggetto","codice 2 oggetto","lavorazione prevista","nr fasi","richiesta","commessa","chiamante richiesta","tipologia richiesta","settore unità di business","data prima fase non completata","mese prima fase non completata","anno prima fase non completata","gruppo contratto di manutenzione","situazione materiale","ordine cliente","data ordine cliente","urgenza","grafico"
" -> Potain-BO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2022/  3410 Sostituzione Viti Ralla","","Z M","TRE.BI SRL","Bastiglia (MO)","Sostituzione Viti Ralla","12.17","MAGAZZINO / DEPOSITO Via Canaletto, 46 Bastiglia (MO)","09/10/2033 07:00","","","Gru a torre MCG Potain GMA IGO 36","Gru a torre MCG Potain GMA IGO 36 matr. 403422","","","Sostituzione viti ralla tra 12 anni come previsto dal costruttore.

Ultima sostituzione 28-02-2022","4","",""," ","","ASA Cantieristica","09/10/2033","(10) Ottobre","2033","","non assegnato","","","bassa","1"
"","","2023/  4127 Sostituzione Viti Ralla","","P","GRANDI UFFIZI Società Consortile","Firenze (FI)","Sostituzione Viti Ralla","12.33","NUOVI UFFIZI L253 (Complesso Museale degli Uffizi) - Portico di Levante Piazzale Uffizi Firenze (FI)","15/01/2035 07:00","","","Gru a torre MCG Potain GME MC 85B","Gru a torre MCG Potain GME MC 85B matr. 407122","","","Sostituzione bulloni ralla secondo le indicazioni e materiali forniti dal costruttore
27-03-2023 eseguito sostituzioni viti ralla eseguire la prossima tra 12 anni","4","",""," ","","ASA Cantieristica","15/01/2035","(01) Gennaio","2035","","non assegnato","","","bassa","1"
"","","2023/  6659 Riparazione elettrica","","P","COSTRUZIONI E. DALLACASA SRL","Imola (BO)","Riparazione elettrica","3.5","LABORATORIO VIA BACCHINI, 4/A Imola (BO)","12/09/2023 14:30","","","Radiocomando Potain-Hetronic CCS 84038019 ","Radiocomando Potain-Hetronic CCS 84038019  matr. 195519","","","E stato installato una trasmittente di proprietà Imola gru nella gru Hup 40/30 di dalla casa per non lasciarlo fermo in attesa della riparazione della sua trasmittente.
il radiocomando è tornato senza protezione video e con il display rotto.","2","",""," ","","ASA Cantieristica","08/10/2023","(10) Ottobre","2023","","non assegnato","","","alta","1"
"","","2022/  2946 Sostituzione Viti Ralla","","I","TBR COSTRUZIONI GENERALI S.r.l.","FORLI' (FC)","Sostituzione Viti Ralla","12.17"," Piazzale Roma FORLI' (FC)","01/01/2034 07:00","","","Gru a torre MCG Potain GMA IGO 15","Gru a torre MCG Potain GMA IGO 15 matr. 98170","","","Sostituire viti ralla

ultima sostituzione 03-03-2022

Prossima sostituzione 2034","4","",""," ","","ASA Cantieristica","01/01/2034","(01) Gennaio","2034","","non assegnato","","","bassa","1"
"","","2020/  3296 Sostituzione Viti Ralla","","I","RES.CO SRL","Ozzano dell'Emilia (BO)","Sostituzione Viti Ralla","12.17","Magazzino / Deposito Via dell'Artigianato, 9 Ozzano dell'Emilia (BO)","10/01/2028 07:34","","","Gru a torre MCG Potain GMA IGO 21","Gru a torre MCG Potain GMA IGO 21 matr. 94829","","","Sostituzione bulloni ralla dopo 8 anni dalla sostituzione precedente (scadenza maggio 2028).","4","",""," ","","ASA Cantieristica","10/01/2028","(01) Gennaio","2028","","nullo","","","bassa","1"
"","","2022/  6965 Sostituzione Viti Ralla","","I","PARESA S.P.A.","Gualdo (FC)","Sostituzione Viti Ralla","12.5","Magazzino/Deposito Via del Savio, 185 Gualdo (FC)","30/01/2033 08:00","","","Gru a torre MCG Potain GME MDT 128","Gru a torre MCG Potain GME MDT 128 matr. 409728","","","Sostituzione viti ralla dopo 12 anni come previsto dal costruttore.
Sostituite a Gennaio 2022.","4","",""," ","","ASA Cantieristica","30/01/2033","(01) Gennaio","2033","","nullo","","","bassa","1"
"","","2023/  3700 Riparazione meccanica","","I","Naldi Carpenterie srl","Predappio (FC)","Riparazione meccanica","13.5","MAGAZZINO Via S. Agostino, 14 Predappio (FC)","31/03/2023 10:30","","","Gru a torre multimarca Simma GME S 3248","Gru a torre multimarca Simma GME S 3248 matr. 701272 ","","","Smontaggio motore di rotazione per revisione d'officina (causa cuscinetti usurati), sostituzione cinghie tra motore rotazione e riduttore rotazione (crepate) , controllare sblocchi della rotazione, sostituire disco freno carrello (scollato), cinghie tra motore distribuzione e riduttore distribuzione (crepate)  e carrucola punta braccio (ingolata)

Motore Rotazione non più fornito dal costruttore","3","",""," ","","ASA Cantieristica","25/06/2023","(06) Giugno","2023","","non assegnato","","","bassa","1"
"","","2021/  5619 Sostituzione Viti Ralla","","I","MARTINELLI COSTRUZIONI SRL","San Matteo Della Decima (BO)","Sostituzione Viti Ralla","12.17","DEPOSITO/MAGAZZINO VIA PIOPPE San Matteo Della Decima (BO)","27/02/2033 07:00","","","Gru a torre MCG Potain GMA IGO 36","Gru a torre MCG Potain GMA IGO 36 matr. 411793","","","Sostituzione viti ralla 01-06-2021 prossima tra 12 anni 
01-06-2033","4","",""," ","","ASA Cantieristica","27/02/2033","(02) Febbraio","2033","","non assegnato","","","bassa","1"
"","","2022/  6640 Riparazione meccanica","","I","MARTINELLI COSTRUZIONI SRL","San Matteo Della Decima (BO)","Riparazione meccanica","5","DEPOSITO/MAGAZZINO VIA PIOPPE San Matteo Della Decima (BO)","18/10/2022 08:00","","","Gru a torre MCG Potain GMA IGO 36","Gru a torre MCG Potain GMA IGO 36 matr. 411793","","","Sostituire cordone braccio come prescritto dal costruttore","2","",""," ","","ASA Cantieristica","27/11/2022","(11) Novembre","2022","","non assegnato","","","bassa","1"
